"","scores","predscores","tmhalfsc","opphalfsc","airya","yaca","airyd","yac","psd","patt","comppct","ryd","ratt","rushsd","ypr","int_pct","sack_pct","sack_yd_pct","fum_pct"
"1461",21,23,13,7,2.16666666666667,3.17647058823529,26,54,4.60977222864644,12,0.666666666666667,122,17,13.9715479546518,7.17647058823529,0,0.142857142857143,-0.785714285714286,0.032258064516129
"1462",20,22.5,10,3,5.14285714285714,3.18181818181818,72,35,11.3681297934181,14,0.571428571428571,26,13,2.1483446221183,2,0.0714285714285714,0.0666666666666667,-0.266666666666667,0
"1463",7,19,7,24,4.88888888888889,1.35714285714286,44,38,9.8519655140381,9,0.777777777777778,31,10,7.64787552199956,3.1,0,0.1,-0.4,0.15
"1464",16,18.5,7,21,2.44444444444444,3.81481481481481,44,103,6.40525906970202,18,0.888888888888889,43,16,2.99413489175087,2.6875,0,0.0526315789473684,0,0
"1465",16,20.25,10,3,1,1.34782608695652,9,31,5.93295878967653,9,0.555555555555556,122,15,11.1047537368262,8.13333333333333,0,0.1,-0.7,0.08
"1466",34,20,17,10,3.5625,5,57,90,13.2497379429012,16,0.5625,39,9,3.94405318873308,4.33333333333333,0,0.0588235294117647,-0.352941176470588,0
"1467",26,20,19,0,2.125,5,34,45,9.58432965835379,16,0.5,119,24,7.17913160177159,4.95833333333333,0,0.0588235294117647,-0.176470588235294,0
"1468",35,23.25,21,17,6.58333333333333,2.3125,79,37,8.10692433801021,12,1,32,8,4.89897948556636,4,0,0,0,0
"1469",24,23,17,3,4.55555555555556,4.57894736842105,82,87,13.3150291024842,18,0.555555555555556,89,18,4.36491341675897,4.94444444444444,0,0.142857142857143,-0.857142857142857,0
"1470",7,14,7,14,1.2,3.4,18,51,9.38735580339809,15,0.466666666666667,90,22,3.44975744745641,4.09090909090909,0.133333333333333,0,0,0.027027027027027
"1471",17,24,14,3,3.3,3.5,33,35,2.57681974534503,10,0.5,62,15,4.64566703738249,4.13333333333333,0.1,0,0,0
"1472",20,11.5,13,6,2.33333333333333,1.57142857142857,35,22,3.88707795136655,15,0.533333333333333,117,18,7.63944442424389,6.5,0.0666666666666667,0,0,0
"1473",31,30.5,17,0,3.78947368421053,4.83333333333333,72,58,7.44208407535251,19,0.684210526315789,44,9,5.72410972106278,4.88888888888889,0,0.0952380952380952,-0.761904761904762,0.0333333333333333
"1474",10,14.25,3,7,2.35294117647059,0.8,40,12,6.8,17,0.294117647058824,46,15,2.71947707391615,3.06666666666667,0,0,0,0
"1475",24,18.25,13,14,8.33333333333333,1.95,150,39,10.9933692136063,18,0.666666666666667,58,11,7.4965556829412,5.27272727272727,0,0.1,-1.05,0.032258064516129
"1476",24,16.25,3,7,2.5,1.47619047619048,30,31,5.30659966456864,12,0.416666666666667,56,13,6.57950916318249,4.30769230769231,0.0833333333333333,0,0,0
"1477",16,28.75,6,10,7.2,3.21428571428571,144,45,13.9470725721684,20,0.6,38,12,4.37480158280223,3.16666666666667,0,0,0,0.03125
"1478",45,23.25,24,0,2.85714285714286,10.1818181818182,60,112,10.0813021510728,21,0.666666666666667,70,20,2.81957443597434,3.5,0,0.0454545454545455,-0.454545454545455,0
"1479",3,16,0,10,1.22222222222222,2.90909090909091,22,64,2.03685059112801,18,0.611111111111111,38,12,3.86939558874797,3.16666666666667,0.0555555555555556,0.0526315789473684,-0.421052631578947,0
"1480",10,13.25,3,3,3.04347826086957,4.11111111111111,70,37,4.16119640915393,23,0.652173913043478,67,17,2.7326046233734,3.94117647058824,0.0434782608695652,0.0416666666666667,-0.333333333333333,0.024390243902439
